Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-27_06:22:21,27.8,29.8,74.0,43.0,74.0,39.0,40.0,39.0,38.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.0,4.0,100.0,2.5,2.5,2.5,7.0,42.0,35.9,1.2
2023-09-27_06:22:23,27.8,29.8,75.0,41.0,75.0,38.0,42.0,38.0,38.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,21.0,2.0,100.0,6.0,5.0,5.4,6.4,41.9,35.8,1.2
2023-09-27_06:22:25,27.8,29.8,71.0,42.0,41.0,41.0,72.0,39.0,41.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,27.2,14.9,38.1,11.6,71.4,15.3,11.8,44.4,40.7,1.4
2023-09-27_06:22:27,27.8,29.8,73.0,43.0,41.0,41.0,73.0,40.0,42.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,26.1,20.2,9.0,7.4,100.0,10.1,9.0,43.7,41.4,1.4
2023-09-27_06:22:29,27.8,29.8,72.0,42.0,41.0,41.0,72.0,40.0,41.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,23.0,6.9,9.0,5.9,100.0,8.8,8.0,39.6,37.3,1.3
2023-09-27_06:22:31,27.8,29.8,70.0,41.0,40.0,39.0,71.0,38.0,40.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,2.5,4.0,2.5,100.0,4.4,3.5,36.0,33.7,1.2
2023-09-27_06:22:33,27.8,29.8,73.0,42.0,42.0,41.0,73.0,40.0,63.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.5,7.5,5.0,1.5,100.0,2.5,6.3,36.9,34.7,1.2
2023-09-27_06:22:35,27.8,29.8,73.0,53.0,45.0,53.0,74.0,51.0,48.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,23.1,6.0,4.9,11.7,100.0,8.9,8.2,39.0,36.7,1.3
run3 Time taken: 89.75512266159058 seconds
2023-09-27_06:27:03,27.8,29.8,71.0,42.0,38.0,71.0,39.0,40.0,42.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,28.2,0.0,0.0,100.0,0.0,0.0,57.1,47.5,40.5,1.2
2023-09-27_06:27:05,27.8,29.8,73.0,43.0,38.0,73.0,39.0,40.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.6,3.5,15.2,100.0,3.6,4.0,7.5,45.3,39.2,1.3
2023-09-27_06:27:07,27.8,29.8,72.0,42.0,37.0,72.0,38.0,40.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,3.9,2.0,100.0,5.8,3.4,4.4,39.7,33.7,1.2
2023-09-27_06:27:09,27.8,29.8,72.0,42.0,37.0,72.0,37.0,40.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.9,3.0,4.5,100.0,3.0,2.5,5.9,40.1,34.1,1.2
2023-09-27_06:27:11,27.8,29.8,72.0,42.0,37.0,72.0,38.0,41.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.2,4.4,2.5,100.0,4.4,1.5,2.5,39.5,33.4,1.2
2023-09-27_06:27:13,27.8,29.8,72.0,42.0,37.0,72.0,38.0,40.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.1,3.4,1.5,100.0,6.4,2.0,0.5,39.4,33.3,1.2
2023-09-27_06:27:15,27.8,29.8,72.0,41.0,37.0,72.0,37.0,40.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,3.0,3.5,100.0,2.5,4.5,2.0,39.5,33.4,1.2
2023-09-27_06:27:17,27.8,29.8,75.0,42.0,38.0,73.0,38.0,41.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,2.5,3.9,100.0,2.5,3.4,5.0,39.7,33.7,1.2
2023-09-27_06:27:19,27.8,29.8,72.0,42.0,42.0,72.0,38.0,46.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,3.9,2.5,100.0,3.4,3.0,5.4,39.2,33.2,1.2
2023-09-27_06:27:21,27.8,29.8,72.0,42.0,38.0,72.0,38.0,40.0,40.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,3.0,2.0,100.0,3.4,3.0,4.5,39.3,33.3,1.2
2023-09-27_06:27:23,27.8,29.8,73.0,42.0,37.0,73.0,38.0,40.0,39.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.0,3.0,1.0,100.0,4.5,2.0,4.0,39.2,33.2,1.2
2023-09-27_06:27:25,27.8,29.8,73.0,41.0,37.0,73.0,38.0,41.0,40.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,1.0,1.0,100.0,4.9,2.9,5.9,39.3,33.3,1.2
2023-09-27_06:27:27,27.8,29.8,72.0,41.0,38.0,72.0,38.0,41.0,40.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,4.0,3.9,100.0,3.9,1.5,4.9,39.2,33.1,1.2
2023-09-27_06:27:29,27.8,29.8,74.0,42.0,39.0,74.0,39.0,40.0,40.0,35.9,35.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.8,3.4,4.4,100.0,3.0,4.0,4.4,39.7,33.6,1.2
2023-09-27_06:27:31,27.8,29.8,72.0,41.0,37.0,72.0,38.0,41.0,40.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,1.5,1.5,100.0,3.0,4.0,1.5,39.1,33.1,1.2
runbreak Time taken: 86.10683131217957 seconds
2023-09-27_06:31:08,27.8,29.8,70.0,39.0,39.0,40.0,70.0,40.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,27.0,0.0,0.0,0.0,100.0,50.0,0.0,40.7,39.8,1.1
2023-09-27_06:31:10,27.8,29.8,71.0,40.0,40.0,39.0,71.0,38.0,40.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.0,5.4,3.5,5.0,100.0,13.3,4.5,41.9,39.6,1.3
2023-09-27_06:31:12,27.8,29.8,71.0,39.0,39.0,39.0,70.0,38.0,41.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,2.5,2.0,1.0,100.0,1.0,1.5,34.6,32.4,1.2
2023-09-27_06:31:14,27.8,29.8,71.0,40.0,40.0,39.0,71.0,38.0,40.0,35.9,35.9,49.9,4.6,4.8,3.7,4.8,4.8,4.8,4.8,18.5,1.5,4.4,2.0,100.0,0.5,2.9,35.0,32.2,1.2
2023-09-27_06:31:16,27.8,29.8,70.0,40.0,39.0,39.0,70.0,38.0,41.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.3,1.5,2.5,1.0,100.0,2.5,2.5,36.3,32.5,1.2
2023-09-27_06:31:18,27.8,29.8,70.0,39.0,39.0,39.0,71.0,38.0,40.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,19.0,3.4,2.0,2.5,100.0,3.5,3.0,39.2,33.2,1.2
2023-09-27_06:31:21,27.8,29.8,71.0,39.0,40.0,54.0,71.0,38.0,42.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.2,1.5,3.0,5.0,100.0,1.5,2.0,39.6,33.5,1.2
2023-09-27_06:31:23,27.8,29.8,70.0,40.0,40.0,39.0,71.0,39.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.6,3.4,1.5,3.5,100.0,5.4,4.0,39.8,33.8,1.2
2023-09-27_06:31:25,27.8,29.8,71.0,39.0,40.0,40.0,71.0,38.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.6,3.0,2.9,2.0,100.0,6.4,3.0,39.4,33.3,1.2
2023-09-27_06:31:27,27.8,29.8,70.0,39.0,40.0,38.0,71.0,39.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.3,1.5,2.5,1.5,100.0,6.8,2.5,39.4,33.4,1.2
2023-09-27_06:31:29,27.8,29.8,70.0,39.0,40.0,39.0,70.0,38.0,40.0,35.9,35.9,47.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,19.2,1.5,3.0,2.0,100.0,7.0,2.0,39.2,33.2,1.2
2023-09-27_06:31:31,27.8,29.8,71.0,40.0,40.0,40.0,70.0,38.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,4.9,3.5,2.5,100.0,2.5,3.4,39.6,33.6,1.2
2023-09-27_06:31:33,27.8,29.8,71.0,41.0,40.0,40.0,71.0,38.0,57.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.8,6.4,4.4,3.9,100.0,1.5,2.0,39.5,33.4,1.2
2023-09-27_06:31:35,27.8,29.8,71.0,40.0,41.0,40.0,71.0,39.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.2,7.4,5.5,6.0,100.0,5.4,7.9,42.3,36.2,1.3
2023-09-27_06:31:37,27.8,29.8,72.0,40.0,40.0,40.0,72.0,39.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.1,3.9,3.0,3.4,100.0,2.5,1.5,39.3,33.2,1.2
runbreak
2023-09-27_06:33:11,27.8,29.8,75.0,43.0,39.0,75.0,40.0,44.0,42.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,30.8,0.0,14.3,100.0,0.0,60.0,0.0,48.1,46.0,1.3
2023-09-27_06:33:13,27.8,29.8,73.0,42.0,38.0,73.0,38.0,41.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,1.5,2.4,100.0,1.9,3.4,1.0,35.1,32.8,1.2
2023-09-27_06:33:15,27.8,29.8,73.0,42.0,38.0,73.0,38.0,41.0,39.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.6,3.0,2.5,100.0,1.5,1.5,2.0,34.8,32.6,1.2
