Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-14_00:43:40,27.8,29.8,64.0,64.0,59.0,63.0,61.0,58.0,59.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,79.5,99.0,74.3,75.8,76.0,76.1,75.7,76.8,73.9,4.0
2023-09-14_00:43:42,27.8,29.8,66.0,66.0,61.0,65.0,63.0,60.0,60.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.4,98.5,98.5,98.5,98.5,98.5,98.5,80.0,76.9,4.5
2023-09-14_00:43:44,27.8,29.8,66.0,66.0,63.0,64.0,64.0,60.0,61.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,95.5,95.5,96.1,95.0,96.1,95.5,94.6,90.6,87.1,4.6
2023-09-14_00:43:46,27.8,29.8,63.0,63.0,59.0,63.0,61.0,58.0,59.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.4,98.0,98.5,98.5,98.0,98.0,99.0,82.3,78.1,4.7
2023-09-14_00:43:48,27.8,29.8,74.0,74.0,44.0,44.0,42.0,41.0,42.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,75.6,98.5,70.6,71.3,71.8,71.0,70.8,74.3,67.8,3.6
run3
2023-09-14_16:09:03,27.8,29.8,61.0,61.0,57.0,61.0,59.0,56.0,57.0,31.9,31.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,76.8,71.1,80.5,72.1,71.4,73.6,91.6,79.8,77.0,3.7
2023-09-14_16:09:05,27.8,29.8,60.0,60.0,58.0,60.0,57.0,55.0,56.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,93.0,89.6,94.1,93.0,93.0,94.0,94.0,77.0,73.9,4.4
2023-09-14_16:09:07,27.8,29.8,61.0,61.0,51.0,55.0,57.0,56.0,57.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,93.6,93.6,91.8,94.8,93.3,93.7,94.7,77.1,74.0,4.4
2023-09-14_16:09:09,27.8,29.8,58.0,58.0,54.0,58.0,55.0,55.0,53.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,83.9,81.8,83.1,84.8,84.1,82.7,87.0,76.8,73.9,4.2
2023-09-14_16:09:11,27.8,29.8,60.0,60.0,55.0,59.0,57.0,55.0,54.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,92.8,93.2,92.7,93.7,92.3,93.6,90.2,75.5,72.5,4.7
2023-09-14_16:09:13,27.8,29.8,75.0,50.0,75.0,49.0,48.0,45.0,47.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,92.2,94.1,93.5,92.4,92.5,89.9,91.9,80.0,77.0,4.7
2023-09-14_16:09:16,27.8,29.8,76.0,64.0,76.0,64.0,62.0,59.0,60.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,39.6,27.6,47.5,28.4,81.2,23.2,28.4,52.1,49.2,3.3
2023-09-14_16:09:18,27.8,29.8,61.0,61.0,56.0,61.0,59.0,56.0,57.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,96.8,96.6,96.6,97.1,96.6,96.1,97.6,80.8,77.7,4.5
2023-09-14_16:09:20,27.8,29.8,67.0,67.0,63.0,66.0,65.0,62.0,62.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,97.3,97.1,97.1,97.6,97.6,97.1,98.1,80.4,77.3,4.4
2023-09-14_16:09:22,27.8,29.8,62.0,62.0,57.0,61.0,59.0,56.0,58.0,31.9,31.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,95.7,94.4,96.0,96.0,95.5,96.0,96.0,86.4,83.3,4.6
2023-09-14_16:09:24,27.8,29.8,64.0,64.0,59.0,63.0,61.0,58.0,59.0,32.9,32.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,97.7,98.0,98.0,98.1,97.6,97.1,98.0,81.3,78.0,4.8
2023-09-14_16:09:26,27.8,29.8,39.0,36.0,36.0,37.0,36.0,36.0,35.0,32.9,32.9,45.9,4.4,4.8,3.7,4.8,4.8,4.0,4.1,45.4,40.7,42.0,40.9,40.0,40.0,68.4,51.0,47.2,2.8
run4
2023-09-14_16:42:30,27.8,29.8,66.0,37.0,34.0,40.0,38.0,37.0,66.0,33.9,33.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,46.2,33.3,20.0,71.4,16.7,28.6,100.0,79.7,77.6,1.5
2023-09-14_16:42:32,27.8,29.8,56.0,36.0,34.0,56.0,35.0,35.0,35.0,33.9,33.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,3.0,3.0,96.1,4.4,6.3,3.5,28.7,26.3,1.7
2023-09-14_16:42:34,27.8,29.8,74.0,74.0,59.0,63.0,45.0,59.0,59.0,33.9,33.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,24.3,10.8,8.5,98.0,8.5,9.4,9.5,34.4,32.0,1.9
2023-09-14_16:42:36,27.8,29.8,60.0,60.0,55.0,59.0,57.0,55.0,54.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,96.5,97.5,97.5,96.6,93.6,96.6,96.0,85.1,81.9,4.5
