Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_23:03:19,50.0,75.0,75.0,68.0,72.0,65.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,90.8,100.0,100.0,100.0,100.0,100.0,80.4,100.0,45.5,4800,0
2023-11-14_23:03:21,79.0,80.0,80.0,73.0,77.0,69.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.2,100.0,100.0,100.0,4.5,100.0,100.0,100.0,99.5,4800,0
2023-11-14_23:03:23,80.0,81.0,81.0,74.0,79.0,70.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,87.9,100.0,54.9,100.0,68.6,100.0,79.6,100.0,100.0,4900,0
2023-11-14_23:03:25,82.0,82.0,82.0,76.0,79.0,71.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,100.0,92.1,100.0,73.4,100.0,38.3,100.0,100.0,5000,0
2023-11-14_23:03:27,83.0,84.0,84.0,76.0,80.0,72.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,87.9,100.0,100.0,100.0,100.0,100.0,3.0,100.0,100.0,5000,0
2023-11-14_23:03:29,83.0,84.0,84.0,78.0,81.0,72.0,30.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,100.0,88.9,100.0,100.0,100.0,14.4,100.0,100.0,5100,0
2023-11-14_23:03:31,84.0,85.0,85.0,78.0,82.0,73.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,100.0,3.5,100.0,100.0,100.0,100.0,100.0,100.0,5200,0
2023-11-14_23:03:33,85.0,87.0,87.0,80.0,82.0,75.0,27.0,36.5,3400.1,3400.0,3400.0,3400.0,3399.5,3400.0,3400.0,3400.0,3400.0,85.9,100.0,3.4,100.0,83.2,100.0,100.0,100.0,100.0,5300,0
2023-11-14_23:03:35,86.0,87.0,87.0,81.0,84.0,76.0,27.0,36.5,3400.0,3400.0,3400.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,75.5,100.0,2.3,100.0,72.7,100.0,100.0,100.0,27.9,5500,0
Time taken: 36.02937150001526 seconds 1
2023-11-14_23:13:47,44.0,70.0,70.0,64.0,68.0,60.0,27.0,37.5,3399.8,3398.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,92.6,73.0,100.0,100.0,100.0,100.0,88.6,100.0,77.8,3300,0
2023-11-14_23:13:49,73.0,75.0,75.0,67.0,71.0,63.0,27.0,37.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,3.8,100.0,100.0,100.0,99.5,100.0,100.0,100.0,3300,0
2023-11-14_23:13:51,75.0,76.0,76.0,68.0,72.0,64.0,28.0,38.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,3.4,100.0,100.0,100.0,99.5,100.0,100.0,100.0,3600,0
2023-11-14_23:13:53,76.0,76.0,76.0,70.0,73.0,66.0,27.0,37.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,4.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3800,0
2023-11-14_23:13:55,77.0,79.0,79.0,71.0,75.0,66.0,27.0,37.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,87.9,3.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3900,0
2023-11-14_23:13:57,78.0,80.0,80.0,72.0,77.0,68.0,27.0,38.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,3.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4100,0
2023-11-14_23:13:59,80.0,80.0,80.0,73.0,77.0,69.0,27.0,37.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.1,4.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4400,0
2023-11-14_23:14:01,81.0,81.0,81.0,75.0,79.0,69.0,27.0,37.5,3399.9,3400.0,3400.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,84.6,3.8,73.1,100.0,100.0,100.0,100.0,100.0,100.0,4600,0
2023-11-14_23:14:03,81.0,82.0,82.0,76.0,79.0,70.0,29.0,37.5,3399.9,3400.0,3400.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,75.6,32.8,1.5,100.0,100.0,69.1,100.0,100.0,100.0,4700,0
Time taken: 37.25943183898926 seconds
2023-11-14_23:15:17,59.0,74.0,74.0,67.0,72.0,63.0,27.0,37.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,91.5,100.0,100.0,68.9,100.0,100.0,77.8,85.1,100.0,4800,0
2023-11-14_23:15:19,77.0,78.0,78.0,72.0,74.0,66.0,27.0,37.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,100.0,100.0,79.0,100.0,94.7,100.0,29.5,100.0,4800,0
2023-11-14_23:15:22,78.0,79.0,79.0,73.0,76.0,69.0,27.0,37.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,7.9,95.1,4800,0
2023-11-14_23:15:24,79.0,80.0,80.0,74.0,77.0,69.0,27.0,37.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,87.9,100.0,100.0,100.0,100.0,100.0,100.0,3.7,100.0,4900,0
2023-11-14_23:15:26,80.0,81.0,81.0,75.0,79.0,70.0,27.0,37.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,81.7,100.0,100.0,99.0,92.2,59.0,100.0,2.9,100.0,5100,0
2023-11-14_23:15:28,81.0,82.0,82.0,76.0,79.0,71.0,27.0,37.0,3400.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,75.5,100.0,100.0,95.1,100.0,1.0,100.0,6.9,100.0,5100,0
