Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_20:49:11,76.0,77.0,54.0,52.0,75.0,53.0,27.0,36.5,3457.6,3485.0,3457.4,3716.1,2800.0,3552.3,3538.6,3553.5,3558.0,13.0,0.5,0.0,100.0,1.0,0.0,2.0,0.0,0.5,3800,0
2023-11-14_20:49:13,76.0,76.0,53.0,54.0,76.0,53.0,30.0,36.5,3340.9,3464.1,3401.3,3696.3,2800.0,3502.3,3574.1,2800.0,3488.9,12.9,1.0,0.0,100.0,0.0,0.5,1.5,0.0,0.5,4000,0
2023-11-14_20:49:15,77.0,77.0,55.0,52.0,77.0,53.0,27.0,36.5,3290.0,3537.1,2800.0,3720.3,2800.0,3573.6,3531.1,2800.0,3557.6,12.9,1.0,0.5,100.0,0.5,0.0,1.0,0.0,0.5,4100,0
2023-11-14_20:49:17,77.0,77.0,54.0,53.0,76.0,53.0,27.0,36.5,3275.8,3502.2,2800.0,3796.3,3498.7,2800.0,3507.0,2800.0,3564.0,13.0,0.5,0.5,100.0,0.0,0.9,1.4,0.0,0.5,4200,0
2023-11-14_20:49:19,77.0,77.0,55.0,53.0,76.0,53.0,27.0,36.5,3264.9,3529.6,3493.7,3779.4,3473.6,2800.0,3522.3,2800.0,3491.3,13.0,0.5,0.0,100.0,1.0,0.5,1.5,0.0,0.5,4200,0
2023-11-14_20:49:21,77.0,78.0,55.0,54.0,77.0,53.0,27.0,36.5,3288.3,3500.4,3557.4,2800.0,2800.0,3570.0,3501.8,3776.5,2800.0,13.0,0.0,0.5,17.1,0.0,0.5,1.5,83.0,0.5,4300,0
2023-11-14_20:49:24,78.0,78.0,55.0,53.0,78.0,54.0,27.0,36.5,3297.6,3523.3,3570.8,2800.0,2800.0,3548.5,3573.2,3765.2,2800.0,13.0,0.9,0.9,0.0,0.5,0.0,1.8,100.0,0.0,4400,0
2023-11-14_20:49:26,78.0,78.0,56.0,54.0,78.0,53.0,27.0,36.5,3255.0,3401.5,3430.4,2800.0,3550.5,2800.0,3491.1,3766.5,2800.0,12.8,0.0,0.5,0.0,1.0,0.0,1.0,100.0,1.0,4500,0
2023-11-14_20:49:28,78.0,78.0,55.0,54.0,78.0,54.0,27.0,36.5,3277.0,3521.2,2800.0,3777.6,3555.8,3464.1,3497.6,2800.0,2800.0,12.9,0.5,0.5,66.2,0.5,1.0,1.0,34.1,0.0,4700,0
run4 Time taken: 129.83659744262695 seconds
2023-11-14_20:51:57,56.0,75.0,56.0,75.0,55.0,56.0,27.0,37.0,3376.8,3544.2,3681.9,3487.4,3540.5,2800.0,3591.8,2800.0,3568.4,15.7,1.7,100.0,1.7,16.9,1.7,3.4,0.0,1.7,4300,0
2023-11-14_20:51:59,76.0,77.0,55.0,77.0,54.0,56.0,27.0,37.0,3283.8,3436.4,3747.9,3543.3,3577.4,2800.0,2800.0,2800.0,3565.4,13.0,0.4,100.0,0.4,1.8,0.0,0.4,0.4,0.4,4300,0
2023-11-14_20:52:01,76.0,77.0,56.0,77.0,54.0,56.0,27.0,37.0,3386.1,3442.8,3748.9,3513.9,3551.9,2800.0,3706.8,2800.0,3524.5,12.9,0.0,100.0,1.0,0.5,0.0,0.0,0.0,1.0,4400,0
2023-11-14_20:52:03,76.0,76.0,56.0,76.0,53.0,59.0,27.0,36.5,3463.3,3452.2,3614.0,3479.7,3585.5,2800.0,3743.3,3439.2,3592.7,12.9,0.5,100.0,0.0,2.0,0.0,0.5,0.0,1.0,4400,0
2023-11-14_20:52:05,77.0,77.0,56.0,77.0,54.0,57.0,27.0,36.5,3188.8,3502.0,3629.0,3480.5,3514.8,3508.9,2800.0,2800.0,3547.8,13.0,0.5,100.0,0.0,1.8,0.0,0.0,0.5,0.5,4500,0
2023-11-14_20:52:07,77.0,77.0,56.0,77.0,54.0,58.0,27.0,37.0,3339.9,3484.6,2800.0,3433.1,3548.1,2800.0,3649.8,3496.0,3507.6,13.1,0.5,5.0,1.0,1.5,1.0,95.0,0.0,0.5,4600,0
2023-11-14_20:52:09,77.0,78.0,56.0,77.0,54.0,56.0,27.0,37.0,3172.9,3504.5,2800.0,3400.8,3513.1,2800.0,3643.1,2800.0,3536.3,12.9,1.0,0.0,0.5,1.4,0.0,100.0,0.5,0.5,4600,0
2023-11-14_20:52:11,77.0,78.0,56.0,77.0,55.0,57.0,27.0,37.0,3272.3,3490.7,2800.0,3412.9,3512.8,2800.0,3646.8,2800.0,3568.0,13.0,0.0,0.0,1.0,1.5,0.0,100.0,0.5,1.0,4700,0
