Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_21:13:01,51.0,69.0,69.0,47.0,66.0,46.0,28.0,38.5,3440.7,3596.6,3474.1,3596.6,3490.7,2800.0,3491.5,3587.8,3488.6,28.3,98.1,15.4,100.0,0.0,3.8,1.9,1.9,0.0,2700,0
2023-11-14_21:13:03,74.0,76.0,76.0,50.0,71.0,50.0,28.0,38.5,3186.6,3522.7,3437.6,3522.6,3418.4,2800.0,3449.8,3442.2,3416.0,25.6,100.0,1.8,100.0,0.4,0.4,0.4,0.9,0.4,2900,0
2023-11-14_21:13:05,75.0,75.0,75.0,51.0,72.0,51.0,28.0,38.5,3230.8,3598.1,3401.4,3598.1,3451.2,2800.0,2800.0,2800.0,3397.6,25.6,100.0,1.4,55.3,0.5,2.3,0.5,45.1,0.5,3200,0
2023-11-14_21:13:07,70.0,70.0,52.0,67.0,70.0,52.0,28.0,38.5,3418.7,3438.8,3596.7,3596.7,3441.7,3402.3,3592.4,2800.0,3481.2,25.5,2.4,98.0,100.0,0.0,2.0,0.0,0.0,0.5,3500,0
2023-11-14_21:13:09,70.0,71.0,53.0,68.0,71.0,53.0,28.0,38.0,3503.4,3491.7,3575.0,3575.0,3402.0,3497.1,3507.7,3541.2,3437.2,25.5,0.0,100.0,100.0,0.5,1.5,0.5,0.0,0.5,3700,0
2023-11-14_21:13:11,71.0,72.0,53.0,68.0,72.0,53.0,28.0,38.5,3409.7,3402.4,3594.9,3594.9,3438.1,3399.3,3575.5,2800.0,3472.3,25.5,0.0,100.0,100.0,1.0,2.0,0.0,0.5,1.0,3800,0
2023-11-14_21:13:13,71.0,73.0,53.0,69.0,73.0,54.0,28.0,38.5,3398.6,3418.2,3597.8,3597.8,3399.8,3438.7,3536.2,2800.0,3400.5,25.5,1.0,100.0,100.0,0.0,1.0,0.5,0.0,0.0,4000,0
2023-11-14_21:13:15,72.0,73.0,55.0,70.0,73.0,54.0,28.0,38.5,3337.1,3499.9,3599.2,3599.2,3401.5,3401.8,3595.1,2800.0,2800.0,25.5,0.0,100.0,100.0,0.0,1.9,0.5,0.5,1.5,4100,0
2023-11-14_21:13:17,73.0,75.0,55.0,70.0,74.0,55.0,28.0,38.5,3264.2,3499.3,3571.9,3572.0,2800.0,3494.9,3575.9,2800.0,2800.0,25.6,0.0,100.0,100.0,0.9,0.9,0.9,0.9,0.9,4200,0
2023-11-14_21:13:19,74.0,75.0,55.0,72.0,74.0,56.0,28.0,38.5,3432.8,3488.1,3574.8,3574.7,3482.6,3494.5,3533.8,3513.6,2800.0,25.4,1.0,100.0,100.0,0.0,1.5,0.0,0.0,0.5,4200,0
Time taken: 72.65932130813599 seconds
2023-11-14_21:15:23,47.0,69.0,69.0,64.0,53.0,48.0,28.0,38.0,3420.9,3549.5,3549.4,3484.9,3478.8,3504.5,3500.0,3500.2,2800.0,27.9,100.0,100.0,20.0,0.0,4.0,4.1,2.0,0.0,4300,0
2023-11-14_21:15:25,73.0,74.0,74.0,68.0,54.0,53.0,28.0,38.0,3407.1,3594.5,3594.5,3444.3,3405.0,2800.0,3469.1,3470.6,3478.9,25.5,100.0,73.2,1.3,0.0,0.0,27.0,0.4,0.9,4300,0
2023-11-14_21:15:27,74.0,75.0,75.0,69.0,55.0,53.0,28.0,38.0,3411.8,3531.8,3531.8,3493.7,3442.4,3541.7,2800.0,3492.9,3460.3,25.5,100.0,100.0,2.0,0.5,1.0,0.0,1.0,0.0,4300,0
2023-11-14_21:15:29,75.0,76.0,76.0,71.0,55.0,54.0,28.0,38.0,3265.6,3599.1,3599.1,3501.0,3430.5,3595.1,2800.0,2800.0,2800.0,25.5,100.0,100.0,2.4,0.0,0.0,0.0,1.4,0.0,4400,0
2023-11-14_21:15:31,76.0,77.0,77.0,71.0,55.0,55.0,28.0,38.0,3415.9,3563.2,3563.2,3494.0,3453.6,3530.4,3480.4,2800.0,3442.1,25.6,100.0,100.0,0.9,0.5,0.5,0.0,0.0,1.4,4400,0
2023-11-14_21:15:33,77.0,77.0,77.0,71.0,57.0,55.0,28.0,38.0,3318.1,3532.5,3532.5,3491.8,3437.3,3450.8,2800.0,3500.3,2800.0,25.4,100.0,100.0,2.0,0.5,0.5,0.5,0.0,0.5,4500,0
2023-11-14_21:15:35,77.0,78.0,78.0,72.0,56.0,55.0,28.0,38.0,3288.1,3600.0,3602.7,3501.9,2800.0,3600.1,3600.0,2800.0,2800.0,25.4,100.0,27.3,0.9,0.0,0.5,73.5,0.5,0.5,4600,0
2023-11-14_21:15:38,78.0,78.0,78.0,73.0,57.0,56.0,28.0,38.0,3501.9,3560.7,3581.5,3499.5,3404.4,3503.5,3560.7,3428.5,3476.1,25.6,100.0,0.0,2.0,1.0,0.0,100.0,0.5,1.0,4600,0
2023-11-14_21:15:40,78.0,79.0,79.0,73.0,57.0,57.0,28.0,38.0,3321.9,3592.9,3486.3,3438.6,3401.0,2800.0,3592.9,3463.5,2800.0,25.5,100.0,0.5,1.4,0.5,0.5,100.0,0.5,0.5,4700,0
2023-11-14_21:15:42,78.0,79.0,79.0,73.0,57.0,58.0,28.0,38.0,3316.6,3595.5,3595.5,3400.8,3402.1,2800.0,2800.0,3468.0,3471.1,25.5,100.0,100.0,2.4,0.0,0.0,0.0,0.5,1.0,4800,0
