Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_22:25:39,47.0,68.0,68.0,61.0,65.0,55.0,26.0,35.5,3324.9,2800.0,3399.2,3400.0,3400.0,3400.0,3400.0,3400.1,3400.1,53.0,0.0,23.6,100.0,76.8,100.0,100.0,9.1,12.3,4100,0
2023-11-14_22:25:41,73.0,74.0,74.0,67.0,70.0,62.0,26.0,35.5,3325.1,3399.5,2800.0,3400.0,3400.0,3400.0,3400.0,3400.9,3400.0,50.7,1.3,71.5,100.0,52.1,100.0,29.5,2.1,48.3,4100,0
2023-11-14_22:25:43,74.0,75.0,75.0,68.0,72.0,63.0,26.0,35.5,3249.9,3400.0,3399.2,3400.0,3400.0,2800.0,3400.0,3400.0,2800.0,50.6,93.2,33.8,100.0,91.2,7.3,67.2,2.4,9.3,4200,0
2023-11-14_22:25:45,75.0,76.0,76.0,69.0,73.0,64.0,30.0,36.0,3400.0,3400.0,3400.0,3400.0,3399.8,3399.6,3400.3,3400.0,3400.0,50.6,100.0,80.2,100.0,6.0,1.0,20.7,2.5,94.6,4300,0
2023-11-14_22:25:47,76.0,78.0,78.0,70.0,74.0,66.0,26.0,35.5,3400.1,3399.9,3400.0,3400.0,3400.3,3400.0,3400.6,3399.6,3400.0,50.5,93.3,47.8,100.0,1.0,7.7,52.4,1.9,100.0,4300,0
2023-11-14_22:25:49,77.0,78.0,78.0,71.0,75.0,67.0,26.0,35.5,3400.0,3399.5,3400.0,3400.0,3399.6,3400.0,3400.3,3400.6,3400.0,50.6,42.6,100.0,79.4,39.8,57.8,0.5,22.4,61.0,4400,0
2023-11-14_22:25:51,79.0,79.0,79.0,73.0,76.0,68.0,26.0,35.5,3399.9,3400.4,3400.0,3400.0,3400.0,3400.0,3399.5,3399.4,3400.0,50.6,50.2,100.0,100.0,3.4,50.2,1.5,2.5,97.6,4500,0
2023-11-14_22:25:53,79.0,80.0,80.0,74.0,77.0,69.0,26.0,35.5,3325.0,3400.0,3400.0,3400.0,3400.0,3400.0,2800.0,3400.0,3400.0,50.5,46.5,27.4,100.0,34.4,54.2,73.0,1.9,66.2,4600,0
2023-11-14_22:25:55,80.0,80.0,80.0,75.0,78.0,69.0,26.0,35.5,3399.9,3399.7,3399.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.2,50.6,44.6,41.5,97.1,100.0,55.9,59.3,5.4,0.0,4700,0
2023-11-14_22:25:57,81.0,81.0,81.0,76.0,79.0,70.0,26.0,35.5,3400.1,3400.0,3400.2,3400.0,3400.1,3400.2,3400.0,3400.0,3400.0,50.6,88.2,0.0,100.0,14.7,12.2,100.0,2.9,85.4,4800,0
