Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_22:39:42,53.0,78.0,78.0,72.0,77.0,67.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,67.1,100.0,100.0,11.4,100.0,100.0,30.2,90.7,2.4,5900,0
2023-11-14_22:39:44,81.0,82.0,82.0,76.0,80.0,71.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.1,3400.2,63.4,100.0,100.0,99.5,100.0,100.0,2.7,2.3,1.8,5900,0
2023-11-14_22:39:46,82.0,84.0,84.0,77.0,81.0,72.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3399.9,3400.0,63.1,100.0,100.0,88.2,100.0,100.0,2.4,12.7,1.0,5900,0
2023-11-14_22:39:48,83.0,84.0,84.0,77.0,82.0,74.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.4,3400.0,3400.0,3400.0,3400.0,63.0,100.0,94.6,94.6,91.2,100.0,6.9,6.3,9.9,6000,0
2023-11-14_22:39:50,84.0,85.0,85.0,79.0,83.0,73.0,26.0,36.5,3399.9,3400.0,3400.0,3399.7,3400.0,3400.0,3400.0,3400.0,3399.8,63.0,100.0,86.9,0.5,31.4,100.0,15.2,100.0,69.3,6000,0
2023-11-14_22:39:52,85.0,86.0,86.0,79.0,84.0,75.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.4,3399.9,63.1,100.0,85.9,83.3,93.7,100.0,17.0,17.6,6.4,5900,0
2023-11-14_22:39:54,86.0,87.0,87.0,81.0,84.0,76.0,26.0,36.5,3399.9,3400.0,3400.3,3400.0,3399.1,3400.0,3400.0,3400.1,3400.0,63.1,100.0,84.6,100.0,38.7,100.0,18.5,0.9,62.8,6000,0
2023-11-14_22:39:56,87.0,88.0,88.0,80.0,85.0,77.0,27.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3399.7,3400.0,63.0,100.0,17.7,100.0,66.5,100.0,85.1,1.0,34.0,6000,0
2023-11-14_22:39:58,87.0,88.0,88.0,82.0,87.0,77.0,26.0,36.5,3400.2,3400.0,3399.6,3400.0,3400.0,3400.0,3400.0,3401.3,3400.6,63.1,100.0,2.4,94.7,100.0,100.0,100.0,6.3,0.0,6000,0
Time taken: 42.3786518573761 seconds run1
2023-11-14_22:40:43,77.0,82.0,82.0,75.0,79.0,69.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,65.6,40.0,100.0,82.5,100.0,80.0,100.0,18.5,3.1,6000,0
2023-11-14_22:40:45,85.0,86.0,86.0,78.0,84.0,75.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.1,3400.0,3400.0,3399.9,63.2,100.0,100.0,69.5,100.0,0.9,100.0,33.6,2.6,6000,0
2023-11-14_22:40:47,86.0,87.0,87.0,79.0,83.0,75.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3399.9,3400.0,3400.0,3400.0,3400.0,63.0,93.2,100.0,98.5,84.3,7.8,100.0,3.0,16.3,6000,0
2023-11-14_22:40:49,87.0,89.0,89.0,81.0,84.0,76.0,26.0,36.5,3400.0,3400.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,63.0,3.4,100.0,92.2,0.5,96.6,100.0,10.2,100.0,6000,0
2023-11-14_22:40:51,88.0,89.0,89.0,81.0,85.0,77.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3399.8,3400.1,3400.0,3400.0,3400.0,63.1,68.3,100.0,85.2,19.0,32.8,100.0,17.6,81.5,6000,0
2023-11-14_22:40:53,89.0,90.0,90.0,82.0,86.0,78.0,26.0,36.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,63.0,78.6,100.0,99.5,65.0,22.7,100.0,2.3,35.8,6000,0
2023-11-14_22:40:55,89.0,90.0,90.0,83.0,87.0,78.0,26.0,36.5,3400.0,3400.2,3400.0,3400.0,3400.3,3400.0,3400.0,3400.0,3400.0,63.1,0.5,100.0,95.6,22.3,100.0,100.0,6.4,78.9,6000,0
2023-11-14_22:40:57,90.0,90.0,90.0,83.0,87.0,79.0,27.0,36.5,3400.2,3401.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,63.1,62.7,100.0,100.0,1.0,37.8,100.0,2.0,100.0,6000,0
