timestamp;tag;duration;nvidia_gpu_0
1689427665.6566236;foo;1258.9360268115997;16857680
1689713893.9759824;foo;1264.1045780181885;17494472
1689715158.0825548;foo;1252.2530510425568;15655782
1689773030.9276323;foo;1267.1756265163422;17300576
1689782276.3269114;foo;1254.9737751483917;17030026
1689801568.3758643;foo;1248.9232430458069;16767813
1689802817.3020992;foo;1245.0303664207458;15623450
