Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-15_03:27:12,27.8,29.8,58.0,58.0,56.0,56.0,56.0,40.0,43.0,32.9,32.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,68.5,99.5,99.5,99.5,99.5,4.0,7.6,61.5,58.4,4.8
2023-09-15_03:27:14,27.8,29.8,48.0,39.0,37.0,47.0,35.0,37.0,37.0,32.9,32.9,43.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,37.3,40.4,56.4,83.5,40.4,1.5,1.5,45.4,42.5,3.6
2023-09-15_03:27:16,27.8,29.8,60.0,60.0,56.0,57.0,56.0,40.0,42.0,32.9,32.9,43.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,62.1,89.0,90.5,98.0,89.1,2.5,3.5,67.8,64.9,4.2
2023-09-15_03:27:18,27.8,29.8,60.0,60.0,56.0,57.0,56.0,40.0,43.0,32.9,32.9,43.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,66.8,98.5,99.0,99.0,98.5,2.5,3.0,62.3,58.9,4.6
2023-09-15_03:27:20,27.8,29.8,64.0,64.0,61.0,62.0,60.0,41.0,45.0,32.9,32.9,43.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,66.7,98.0,98.5,98.0,98.0,4.0,3.0,71.4,67.1,4.4
2023-09-15_03:27:22,27.8,29.8,58.0,58.0,56.0,55.0,55.0,40.0,43.0,32.9,32.9,43.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,66.7,98.0,98.5,98.0,98.5,3.5,3.9,67.4,60.8,4.8
2023-09-15_03:27:24,27.8,29.8,59.0,59.0,56.0,56.0,56.0,40.0,43.0,32.9,32.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,67.4,99.5,99.5,99.0,99.0,2.5,4.0,66.4,59.5,4.8
2023-09-15_03:27:26,27.8,29.8,36.0,35.0,34.0,34.0,33.0,34.0,35.0,32.9,32.9,45.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,43.4,55.9,56.5,85.6,56.7,2.0,3.9,53.9,47.3,3.3
run3
2023-09-15_03:29:53,27.8,29.8,61.0,43.0,39.0,44.0,61.0,36.0,37.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,49.0,50.0,44.4,66.7,100.0,20.0,0.0,78.5,75.2,1.4
