label,timestamp,duration,pkg,dram,socket
main,1694736803.250805,44116049.713,1841580063.0,153611485.0,0
main,1694736968.9572334,43043635.671,1684249717.0,150020490.0,0
main,1694737035.886374,43089982.338,1741325315.0,149712264.0,0
main,1694739973.613469,45185079.93,1813625972.0,156589076.0,0
main,1694740048.1780055,43090016.051,1747668011.0,149499129.0,0
main,1694740193.841546,43059206.103,1764671813.0,149862653.0,0
main,1694740271.0295556,43337461.306,1770538375.0,150186017.0,0
main,1694740412.1754677,43296027.408,1678820043.0,150440838.0,0
main,1694740478.0074794,43102285.902,1717462461.0,149204452.0,0
main,1694740581.0812347,42977840.542,1705152251.0,149257552.0,0
