Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1 Time taken: 42.79017877578735 seconds
2023-09-27_00:56:25,27.8,29.8,74.0,43.0,44.0,42.0,75.0,42.0,71.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,42.2,0.0,57.1,12.5,100.0,12.5,100.0,64.5,61.3,1.3
2023-09-27_00:56:27,27.8,29.8,82.0,46.0,48.0,47.0,81.0,47.0,81.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.4,2.5,3.5,1.5,100.0,2.0,100.0,58.3,55.4,1.2
2023-09-27_00:56:29,27.8,29.8,86.0,50.0,49.0,51.0,85.0,49.0,86.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.9,3.0,4.5,3.5,100.0,3.1,100.0,61.1,57.1,1.2
2023-09-27_00:56:31,27.8,29.8,82.0,47.0,48.0,48.0,82.0,47.0,83.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.8,4.0,3.0,4.5,100.0,7.4,100.0,63.1,57.1,1.2
2023-09-27_00:56:33,27.8,29.8,82.0,47.0,49.0,48.0,82.0,48.0,82.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,38.7,9.3,8.8,7.9,100.0,6.9,100.0,64.1,58.0,1.2
2023-09-27_00:56:36,27.8,29.8,82.0,66.0,47.0,48.0,81.0,48.0,82.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.4,7.8,3.0,1.5,100.0,4.5,100.0,62.4,56.3,1.2
2023-09-27_00:56:38,27.8,29.8,82.0,48.0,48.0,48.0,82.0,48.0,82.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.7,8.4,4.9,4.4,100.0,3.4,100.0,62.7,56.6,1.2
2023-09-27_00:56:40,27.8,29.8,82.0,47.0,48.0,48.0,82.0,48.0,82.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,37.0,3.4,9.9,4.4,100.0,3.4,100.0,62.4,56.3,1.2
2023-09-27_00:56:42,27.8,29.8,82.0,46.0,47.0,48.0,82.0,48.0,82.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.1,5.5,1.5,4.9,100.0,5.4,100.0,62.1,56.1,1.2
2023-09-27_00:56:44,27.8,29.8,83.0,47.0,47.0,48.0,81.0,48.0,83.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.3,3.0,8.4,1.5,100.0,3.4,100.0,62.2,56.1,1.2
2023-09-27_00:56:46,27.8,29.8,82.0,47.0,47.0,48.0,81.0,48.0,81.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.4,6.4,2.0,2.0,100.0,8.4,100.0,62.2,56.1,1.2
2023-09-27_00:56:48,27.8,29.8,82.0,47.0,47.0,48.0,82.0,47.0,82.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.5,5.4,5.5,2.9,100.0,4.9,100.0,62.4,56.3,1.2
2023-09-27_00:56:50,27.8,29.8,82.0,47.0,47.0,47.0,82.0,47.0,82.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.6,3.0,9.0,3.5,100.0,3.9,100.0,62.5,56.5,1.2
2023-09-27_00:56:52,27.8,29.8,82.0,52.0,48.0,49.0,82.0,48.0,83.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.1,3.0,5.4,5.4,100.0,2.5,100.0,62.2,56.1,1.2
run2 Time taken: 43.79137873649597 seconds
2023-09-27_00:58:29,27.8,29.8,72.0,72.0,42.0,41.0,41.0,43.0,68.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,44.7,100.0,12.5,0.0,0.0,50.0,100.0,60.3,59.2,1.2
2023-09-27_00:58:31,27.8,29.8,82.0,82.0,46.0,47.0,50.0,49.0,78.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.9,100.0,3.0,3.0,3.9,4.0,100.0,58.9,56.6,1.2
2023-09-27_00:58:33,27.8,29.8,82.0,82.0,47.0,47.0,48.0,47.0,78.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.6,100.0,3.5,2.5,2.5,3.9,100.0,57.6,55.4,1.2
2023-09-27_00:58:35,27.8,29.8,83.0,83.0,48.0,48.0,48.0,48.0,80.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,37.7,100.0,7.3,8.6,7.2,7.2,100.0,59.8,57.5,1.2
2023-09-27_00:58:37,27.8,29.8,82.0,82.0,47.0,49.0,49.0,48.0,75.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,41.8,100.0,17.5,11.3,11.9,14.3,100.0,63.9,61.7,1.3
2023-09-27_00:58:39,27.8,29.8,81.0,81.0,46.0,48.0,47.0,47.0,78.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,40.7,100.0,13.2,14.7,12.0,12.1,100.0,61.1,58.8,1.2
2023-09-27_00:58:42,27.8,29.8,81.0,81.0,46.0,47.0,46.0,47.0,77.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.7,100.0,4.9,6.2,6.1,5.7,100.0,57.3,55.0,1.2
2023-09-27_00:58:44,27.8,29.8,81.0,81.0,46.0,46.0,47.0,47.0,77.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.8,100.0,3.5,1.0,2.0,2.5,100.0,56.6,54.4,1.2
2023-09-27_00:58:46,27.8,29.8,80.0,80.0,46.0,47.0,46.0,46.0,76.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.1,100.0,0.5,2.5,3.9,3.0,100.0,56.7,54.4,1.2
2023-09-27_00:58:48,27.8,29.8,81.0,81.0,46.0,47.0,46.0,47.0,77.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.6,100.0,3.5,3.9,3.9,3.4,100.0,56.8,54.6,1.2
2023-09-27_00:58:50,27.8,29.8,80.0,80.0,46.0,47.0,46.0,46.0,77.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.8,100.0,2.5,1.0,2.5,2.5,100.0,56.6,54.4,1.2
2023-09-27_00:58:52,27.8,29.8,81.0,81.0,46.0,47.0,46.0,46.0,77.0,37.9,37.9,52.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,34.7,100.0,1.0,3.0,2.0,2.0,100.0,56.4,54.2,1.2
2023-09-27_00:58:54,27.8,29.8,81.0,81.0,46.0,47.0,46.0,47.0,77.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.8,100.0,3.4,1.5,1.5,2.0,100.0,56.7,54.5,1.2
2023-09-27_00:58:56,27.8,29.8,81.0,81.0,46.0,46.0,47.0,47.0,77.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.8,100.0,1.5,3.4,2.0,2.5,100.0,56.6,54.4,1.2
run3 Time taken: 45.45427680015564 seconds
2023-09-27_00:59:31,27.8,29.8,72.0,46.0,71.0,72.0,41.0,40.0,40.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,42.0,37.5,100.0,100.0,0.0,11.1,0.0,62.2,59.5,1.2
2023-09-27_00:59:33,27.8,29.8,79.0,49.0,79.0,79.0,47.0,45.0,44.0,37.9,37.9,49.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,35.8,2.9,100.0,100.0,2.4,2.4,7.3,56.5,54.2,1.2
2023-09-27_00:59:35,27.8,29.8,78.0,50.0,78.0,78.0,47.0,45.0,44.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.2,2.0,100.0,100.0,2.9,2.5,3.5,56.4,54.2,1.2
2023-09-27_00:59:37,27.8,29.8,79.0,49.0,79.0,79.0,47.0,46.0,46.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.4,2.9,100.0,100.0,2.5,2.0,4.5,56.5,54.3,1.2
2023-09-27_00:59:39,27.8,29.8,79.0,51.0,79.0,79.0,47.0,46.0,45.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.4,5.0,100.0,100.0,2.5,1.5,4.0,56.6,54.3,1.2
2023-09-27_00:59:41,27.8,29.8,79.0,50.0,79.0,79.0,47.0,46.0,45.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.3,2.5,100.0,100.0,1.5,3.0,4.9,56.9,54.6,1.2
2023-09-27_00:59:43,27.8,29.8,79.0,50.0,79.0,79.0,47.0,49.0,47.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.1,2.0,100.0,100.0,1.5,2.5,2.5,56.4,54.2,1.2
2023-09-27_00:59:45,27.8,29.8,79.0,49.0,79.0,79.0,47.0,46.0,46.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.0,2.5,100.0,100.0,1.5,1.5,3.9,56.4,54.1,1.2
2023-09-27_00:59:47,27.8,29.8,79.0,50.0,79.0,79.0,47.0,46.0,45.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.5,3.9,100.0,100.0,2.0,2.0,4.0,56.9,54.7,1.2
2023-09-27_00:59:49,27.8,29.8,79.0,50.0,79.0,79.0,47.0,46.0,45.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.7,4.4,100.0,100.0,2.0,2.0,5.9,56.9,54.6,1.2
2023-09-27_00:59:51,27.8,29.8,79.0,49.0,79.0,78.0,47.0,46.0,45.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.3,3.0,100.0,100.0,3.0,2.0,3.9,56.6,54.4,1.2
2023-09-27_00:59:53,27.8,29.8,79.0,50.0,79.0,78.0,47.0,46.0,45.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.9,2.5,100.0,100.0,2.5,2.5,2.0,56.0,53.7,1.2
2023-09-27_00:59:56,27.8,29.8,79.0,49.0,78.0,79.0,47.0,46.0,45.0,37.9,37.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.7,2.5,100.0,100.0,2.0,2.4,2.0,56.0,53.5,1.2
2023-09-27_00:59:58,27.8,29.8,79.0,49.0,78.0,79.0,51.0,46.0,51.0,37.9,37.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.8,1.5,100.0,100.0,2.0,2.5,2.5,57.1,53.6,1.2
run4 Time taken: 44.5950927734375 seconds
2023-09-27_01:00:38,27.8,29.8,72.0,72.0,41.0,42.0,42.0,69.0,41.0,37.9,37.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,43.2,100.0,0.0,0.0,37.5,100.0,0.0,61.0,59.5,1.2
2023-09-27_01:00:40,27.8,29.8,80.0,80.0,45.0,48.0,44.0,76.0,45.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.6,100.0,3.9,3.9,1.5,100.0,5.4,56.7,54.5,1.2
2023-09-27_01:00:42,27.8,29.8,82.0,82.0,49.0,48.0,79.0,46.0,48.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,41.1,100.0,8.4,15.8,19.8,62.6,39.4,62.0,59.8,1.3
2023-09-27_01:00:44,27.8,29.8,81.0,81.0,47.0,47.0,77.0,51.0,47.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.8,100.0,4.4,3.9,100.0,3.0,5.0,56.8,54.6,1.2
2023-09-27_01:00:46,27.8,29.8,80.0,80.0,47.0,46.0,77.0,44.0,46.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.5,100.0,2.5,2.9,100.0,2.5,5.4,56.3,54.0,1.2
2023-09-27_01:00:48,27.8,29.8,81.0,81.0,48.0,46.0,77.0,43.0,46.0,37.9,37.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.3,100.0,4.4,2.9,100.0,4.4,5.4,57.1,54.9,1.2
2023-09-27_01:00:50,27.8,29.8,80.0,80.0,47.0,46.0,77.0,43.0,46.0,37.9,37.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,35.8,100.0,3.0,3.5,100.0,3.0,5.0,57.0,54.7,1.2
