Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-27_05:43:02,27.8,29.8,73.0,41.0,38.0,74.0,37.0,40.0,37.0,33.9,33.9,46.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,18.3,1.5,2.0,100.0,2.0,2.0,2.0,35.6,33.3,1.2
2023-09-27_05:43:04,27.8,29.8,76.0,45.0,40.0,76.0,40.0,42.0,42.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.8,2.5,8.6,100.0,2.0,2.5,8.4,40.1,37.9,1.3
2023-09-27_05:43:07,27.8,29.8,73.0,41.0,38.0,73.0,37.0,40.0,38.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.0,1.5,3.0,100.0,3.5,1.0,3.0,38.0,35.8,1.2
2023-09-27_05:43:09,27.8,29.8,72.0,40.0,38.0,72.0,36.0,40.0,38.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.0,2.0,1.5,100.0,2.0,1.0,1.5,35.1,32.8,1.2
2023-09-27_05:43:11,27.8,29.8,73.0,40.0,38.0,73.0,36.0,40.0,37.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,2.0,2.5,100.0,2.5,1.5,1.0,35.7,32.9,1.2
2023-09-27_05:43:13,27.8,29.8,73.0,40.0,37.0,73.0,37.0,40.0,37.0,33.9,33.9,45.9,4.6,4.8,4.8,4.8,4.8,4.8,4.8,18.6,2.0,2.0,100.0,3.4,2.0,1.0,36.9,33.2,1.2
2023-09-27_05:43:15,27.8,29.8,73.0,41.0,37.0,73.0,37.0,40.0,38.0,33.9,33.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.4,3.5,4.0,100.0,3.5,3.0,2.9,40.0,34.0,1.2
run3 Time taken: 83.28659868240356 seconds
2023-09-27_05:44:37,27.8,29.8,69.0,44.0,41.0,46.0,69.0,41.0,43.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,37.8,14.3,14.3,50.0,100.0,14.3,0.0,48.9,46.0,1.3
2023-09-27_05:44:39,27.8,29.8,70.0,39.0,39.0,38.0,71.0,38.0,39.0,33.9,33.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.4,3.9,2.5,3.9,100.0,2.5,11.6,36.8,34.6,1.2
2023-09-27_05:44:41,27.8,29.8,71.0,39.0,40.0,38.0,71.0,38.0,40.0,33.9,33.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.0,3.4,2.0,2.5,100.0,0.5,9.5,36.2,34.0,1.2
2023-09-27_05:44:43,27.8,29.8,70.0,39.0,39.0,38.0,70.0,37.0,39.0,33.9,33.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,1.5,1.0,2.5,100.0,2.5,10.4,36.3,34.1,1.2
2023-09-27_05:44:45,27.8,29.8,70.0,40.0,39.0,38.0,70.0,38.0,39.0,33.9,33.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,1.5,3.0,2.4,100.0,1.5,4.4,35.2,32.9,1.2
2023-09-27_05:44:48,27.8,29.8,71.0,39.0,40.0,39.0,71.0,38.0,40.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.6,0.5,1.0,2.5,100.0,2.0,5.5,35.1,32.9,1.2
2023-09-27_05:44:50,27.8,29.8,70.0,39.0,39.0,39.0,71.0,37.0,39.0,33.9,33.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.6,2.5,23.3,2.5,100.0,3.4,4.0,39.6,37.4,1.2
2023-09-27_05:44:52,27.8,29.8,70.0,38.0,39.0,38.0,70.0,38.0,37.0,33.9,33.9,47.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,18.4,0.5,1.5,2.5,100.0,1.5,2.5,34.8,32.6,1.2
