Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1 Time taken: 18.165244340896606 seconds
2023-09-27_00:37:52,27.8,29.8,72.0,72.0,69.0,72.0,70.0,68.0,46.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,93.0,100.0,100.0,100.0,100.0,100.0,71.4,106.3,104.4,1.2
2023-09-27_00:37:54,27.8,29.8,88.0,87.0,83.0,88.0,84.0,81.0,58.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,87.9,100.0,100.0,89.8,100.0,99.0,39.0,116.8,114.6,1.3
2023-09-27_00:37:56,27.8,29.8,89.0,88.0,84.0,89.0,84.0,82.0,57.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,87.1,100.0,100.0,100.0,100.0,100.0,23.3,117.1,114.8,1.3
2023-09-27_00:37:58,27.8,29.8,89.0,89.0,85.0,89.0,85.0,83.0,59.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,88.2,100.0,100.0,100.0,100.0,100.0,25.7,118.0,115.8,1.3
2023-09-27_00:38:00,27.8,29.8,90.0,89.0,85.0,90.0,85.0,83.0,58.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,86.7,100.0,100.0,100.0,100.0,100.0,17.9,117.1,114.9,1.2
2023-09-27_00:38:03,27.8,29.8,91.0,89.0,54.0,91.0,84.0,84.0,84.0,38.9,38.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,91.1,100.0,83.6,100.0,100.0,96.5,65.5,120.1,117.1,1.5
2023-09-27_00:38:05,27.8,29.8,77.0,77.0,50.0,77.0,72.0,74.0,72.0,38.9,38.9,53.9,4.6,4.6,4.6,4.6,4.6,4.6,4.6,86.7,100.0,17.2,100.0,100.0,100.0,98.0,101.1,96.9,1.2
2023-09-27_00:38:07,27.8,29.8,79.0,78.0,49.0,79.0,72.0,74.0,73.0,38.9,38.9,53.9,4.7,4.7,4.7,4.7,4.7,4.7,4.7,86.4,97.0,20.8,100.0,100.0,100.0,100.0,94.9,88.8,1.2
2023-09-27_00:38:09,27.8,29.8,77.0,76.0,48.0,77.0,72.0,72.0,72.0,38.9,38.9,52.9,4.6,4.6,4.6,4.6,4.7,4.7,4.7,87.1,100.0,22.0,100.0,100.0,100.0,100.0,94.9,88.8,1.2
