Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1 Time taken: 23.788965940475464 seconds
2023-09-27_00:47:56,27.8,29.8,73.0,73.0,71.0,73.0,71.0,42.0,42.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,77.1,100.0,100.0,100.0,100.0,44.4,0.0,100.0,98.8,1.3
2023-09-27_00:47:58,27.8,29.8,88.0,87.0,73.0,88.0,50.0,54.0,79.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,68.4,100.0,12.7,100.0,8.8,96.1,92.8,98.7,96.4,1.2
2023-09-27_00:48:00,27.8,29.8,89.0,89.0,82.0,87.0,54.0,51.0,80.0,38.9,38.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,68.2,100.0,100.0,100.0,4.0,4.9,100.0,99.0,96.7,1.2
2023-09-27_00:48:02,27.8,29.8,89.0,89.0,84.0,87.0,55.0,52.0,80.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,69.0,100.0,100.0,100.0,5.0,14.1,100.0,99.5,97.3,1.2
2023-09-27_00:48:05,27.8,29.8,90.0,90.0,84.0,88.0,54.0,51.0,81.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,67.8,100.0,100.0,100.0,1.5,5.4,100.0,98.7,96.5,1.2
2023-09-27_00:48:07,27.8,29.8,89.0,89.0,83.0,88.0,55.0,54.0,81.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,68.2,100.0,100.0,100.0,2.5,7.8,100.0,98.7,96.5,1.2
2023-09-27_00:48:09,27.8,29.8,89.0,89.0,83.0,87.0,55.0,52.0,80.0,38.9,38.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,68.1,100.0,100.0,100.0,3.4,4.5,100.0,98.7,96.5,1.2
2023-09-27_00:48:11,27.8,29.8,87.0,87.0,48.0,85.0,49.0,49.0,79.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,53.5,100.0,12.9,100.0,3.5,3.0,100.0,80.4,78.2,1.2
2023-09-27_00:48:13,27.8,29.8,87.0,87.0,48.0,84.0,49.0,49.0,78.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,51.3,100.0,3.9,100.0,1.5,2.5,100.0,77.8,75.5,1.2
